"No.","Time","Time since first frame in this TCP stream","segment delta","Time delta from previous captured frame","Destination","Delta Time (conv)","Info","Length","Time shift for this packet","Source","Time delta from previous captured frame","Protocol"
"1","1275676987.487882","0.000000000","0.000000000","0.000000000","174.143.213.184","","54841  >  80 [SYN] Seq=0 Win=5840 Len=0 MSS=1460 SACK_PERM=1 TSval=863195 TSecr=0 WS=128","74","0.000000000","192.168.1.2","0.000000000","TCP"
"2","1275676987.534652","0.046770000","0.046770000","0.046770000","192.168.1.2","","80  >  54841 [SYN, ACK] Seq=0 Ack=1 Win=5792 Len=0 MSS=1460 SACK_PERM=1 TSval=315395185 TSecr=863195 WS=64","74","0.000000000","174.143.213.184","0.046770000","TCP"
"3","1275676987.534685","0.046803000","0.000033000","0.000033000","174.143.213.184","","54841  >  80 [ACK] Seq=1 Ack=1 Win=5888 Len=0 TSval=863200 TSecr=315395185","66","0.000000000","192.168.1.2","0.000033000","TCP"
"4","1275676987.534723","0.046841000","0.000038000","0.000038000","174.143.213.184","","GET /images/layout/logo.png HTTP/1.1 ","791","0.000000000","192.168.1.2","0.000038000","HTTP"
"5","1275676987.585082","0.097200000","0.050359000","0.050359000","192.168.1.2","","80  >  54841 [ACK] Seq=1 Ack=726 Win=7296 Len=0 TSval=315395197 TSecr=863200","66","0.000000000","174.143.213.184","0.050359000","TCP"
"6","1275676987.587523","0.099641000","0.002441000","0.002441000","192.168.1.2","","[TCP segment of a reassembled PDU]","1514","0.000000000","174.143.213.184","0.002441000","TCP"
"7","1275676987.587534","0.099652000","0.000011000","0.000011000","174.143.213.184","","54841  >  80 [ACK] Seq=726 Ack=1449 Win=8832 Len=0 TSval=863205 TSecr=315395197","66","0.000000000","192.168.1.2","0.000011000","TCP"
"8","1275676987.587648","0.099766000","0.000114000","0.000114000","192.168.1.2","","80  >  54841 [ACK] Seq=1449 Ack=726 Win=7296 Len=1448 TSval=315395197 TSecr=863200","1514","0.000000000","174.143.213.184","0.000114000","TCP"
"9","1275676987.587658","0.099776000","0.000010000","0.000010000","174.143.213.184","","54841  >  80 [ACK] Seq=726 Ack=2897 Win=11648 Len=0 TSval=863205 TSecr=315395197","66","0.000000000","192.168.1.2","0.000010000","TCP"
"10","1275676987.587771","0.099889000","0.000113000","0.000113000","192.168.1.2","","80  >  54841 [ACK] Seq=2897 Ack=726 Win=7296 Len=1448 TSval=315395197 TSecr=863200","1514","0.000000000","174.143.213.184","0.000113000","TCP"
"11","1275676987.587780","0.099898000","0.000009000","0.000009000","174.143.213.184","","54841  >  80 [ACK] Seq=726 Ack=4345 Win=14592 Len=0 TSval=863205 TSecr=315395197","66","0.000000000","192.168.1.2","0.000009000","TCP"
"12","1275676987.637764","0.149882000","0.049984000","0.049984000","192.168.1.2","","80  >  54841 [ACK] Seq=4345 Ack=726 Win=7296 Len=1448 TSval=315395210 TSecr=863205","1514","0.000000000","174.143.213.184","0.049984000","TCP"
"13","1275676987.637798","0.149916000","0.000034000","0.000034000","174.143.213.184","","54841  >  80 [ACK] Seq=726 Ack=5793 Win=17536 Len=0 TSval=863210 TSecr=315395210","66","0.000000000","192.168.1.2","0.000034000","TCP"
"14","1275676987.639874","0.151992000","0.002076000","0.002076000","192.168.1.2","","80  >  54841 [ACK] Seq=5793 Ack=726 Win=7296 Len=1448 TSval=315395210 TSecr=863205","1514","0.000000000","174.143.213.184","0.002076000","TCP"
"15","1275676987.639885","0.152003000","0.000011000","0.000011000","174.143.213.184","","54841  >  80 [ACK] Seq=726 Ack=7241 Win=20352 Len=0 TSval=863210 TSecr=315395210","66","0.000000000","192.168.1.2","0.000011000","TCP"
"16","1275676987.639996","0.152114000","0.000111000","0.000111000","192.168.1.2","","80  >  54841 [ACK] Seq=7241 Ack=726 Win=7296 Len=1448 TSval=315395210 TSecr=863205","1514","0.000000000","174.143.213.184","0.000111000","TCP"
"17","1275676987.640005","0.152123000","0.000009000","0.000009000","174.143.213.184","","54841  >  80 [ACK] Seq=726 Ack=8689 Win=23296 Len=0 TSval=863210 TSecr=315395210","66","0.000000000","192.168.1.2","0.000009000","TCP"
