Time; DeltaTCP
0,0000000000000000;0
1470316186,4683969020843506;0
1470316186,4737110137939453;0,005062
1470316196,1434369087219238;0
1470316196,1460859775543213;0,00255
1470316196,1807100772857666;0,034624
1470316196,2086551189422607;0,010074
1470316196,2179739475250244;0,003932
1470316196,2419340610504150;0,004242
1470316196,2445919513702393;0,00264
1470316196,2499210834503174;0,003882
1470316196,2512509822845459;0,001305
1470316196,2565751075744629;0,005324
1470316196,4629089832305908;0,206334
1470316196,8196721076965332;0,356763
1470316196,8848960399627686;0,006722
1470316196,8955469131469727;0
1470316196,8982050418853760;0,002585
1470316196,9314999580383301;0,033295
1470316196,9474649429321289;0,009028
1470316196,9554569721221924;0,00453
1470316196,9594480991363525;0,003692
1470316196,9953958988189697;0,028479
1470316197,0020389556884766;0,002656
1470316197,2043828964233398;0,195327
1470316198,6766788959503174;1,4723
1470316198,7805049419403076;0,0186
1470316198,9815149307250977;0,00136
1470316198,9934868812561035;0,011933
1470316199,0334310531616211;0,019369
1470316199,2450959682464600;0,197198
1470316199,8933799266815186;0,648284
1470316200,0318210124969482;0,006942
1470316200,0344769954681396;0,002594
1470316200,1063709259033203;0,05073
1470316200,3153650760650635;0,19635
1470316201,9074618816375732;1,5921
1470316202,1164610385894775;0,01567
1470316202,1164638996124268;3e-06
1470316202,1164650917053223;1e-06
1470316202,2083110809326172;0,078348
1470316202,4266209602355957;0,205748
1470316203,1734058856964111;0,0053
1470316203,3903870582580566;0,003822
1470316203,5993878841400146;0,204358
1470316203,7937378883361816;0,194306
1470316203,8070530891418457;0,005292
1470316204,0160450935363770;0,004438
1470316204,0506598949432373;0,013055
1470316204,0573120117187500;0,003116
1470316204,0746250152587891;0,0042
1470316204,0865991115570068;0,003826
1470316204,1039159297943115;0,012479
1470316204,1185550689697266;0,012117
1470316204,1478419303894043;0,02651
1470316204,1531579494476318;0,002951
1470316204,2130699157714844;0,053036
1470316204,4287250041961670;0,206411
1470316205,3938291072845459;8,50893
1470316206,1965250968933105;0,002471
1470316206,1965260505676270;1e-06
1470316206,2085070610046387;0
1470316206,2138280868530273;0,00518
1470316206,2284820079803467;0,014654
1470316206,2444460391998291;0,005238
1470316206,2564330101013184;1,82771
1470316206,2737350463867188;0,004628
1470316206,4987070560455322;0,197662
1470316206,5532870292663574;0,054537
1470316206,7968890666961670;0,237111
1470316206,8115289211273193;0,063566
1470316206,8328280448913574;0
1470316206,8328280448913574;0
1470316206,8354899883270264;0,002524
1470316206,8354909420013428;0,002446
1470316206,8594501018524170;0,02396
1470316206,8780879974365234;0,042597
1470316206,9166951179504395;0,027718
1470316206,9166960716247559;0,027706
1470316206,9260098934173584;0,005761
1470316206,9805910587310791;0,057061
1470316207,0245211124420166;0,20636
1470316207,3506619930267334;0,326141
1470316207,3546519279479980;0,00399
1470316207,3613109588623047;0,006633
1470316207,3613131046295166;2e-06
1470316207,3613150119781494;2e-06
1470316207,3613159656524658;1e-06
1470316207,3679630756378174;0,006615
1470316207,3812758922576904;0,013313
1470316208,2119350433349609;0,005312
1470316208,2199230194091797;0,007956
1470316208,2239129543304443;0,003963
1470316208,2904739379882812;0,066561
1470316208,4941430091857910;0,003369
1470316208,7936599254608154;0,091947
1470316208,8216140270233154;0,027954
1470316208,8229539394378662;0,001317
1470316208,8229548931121826;1e-06
1470316208,8229570388793945;2e-06
1470316208,8229610919952393;4e-06
1470316208,8229620456695557;1e-06
1470316208,8229639530181885;2e-06
1470316208,8229660987854004;2e-06
1470316208,8229680061340332;2e-06
1470316208,8229699134826660;2e-06
1470316209,0612459182739258;0,204158
1470316209,0612480640411377;0,204059
1470316209,1490869522094727;0,031024
1470316209,2289578914642334;0,01109
1470316209,2928559780120850;0,469771
1470316209,3261330127716064;0,002914
1470316209,4432790279388428;0,035842
1470316209,4526031017303467;0,0093
1470316209,4872109889984131;0,034551
1470316209,4925320148468018;0,005578
1470316209,4978549480438232;0,005323
1470316209,5151629447937012;0,017308
1470316209,5284769535064697;0,013314
1470316209,5324668884277344;0,001816
1470316209,5351300239562988;0,002663
1470316209,5351309776306152;1e-06
1470316209,5937149524688721;0,05856
1470316209,5937190055847168;4e-06
1470316209,6150150299072266;0,021235
1470316209,6150178909301758;3e-06
1470316209,6482799053192139;0,02456
1470316209,6482810974121094;0,033192
1470316209,7214970588684082;0,073216
1470316209,7214989662170410;2e-06
1470316209,7215039730072021;5e-06
1470316209,7441310882568359;0,006358
1470316209,7441349029541016;4e-06
1470316209,7441370487213135;2e-06
1470316209,7441389560699463;2e-06
1470316209,7587690353393555;0,014597
1470316209,7601039409637451;0,001335
1470316209,7601070404052734;3e-06
1470316209,7601079940795898;1e-06
1470316209,7601089477539062;1e-06
1470316209,7601089477539062;0
1470316209,7614328861236572;0,001149
1470316209,7614350318908691;2e-06
1470316209,7614369392395020;2e-06
1470316209,7654271125793457;0,003963
1470316209,7654280662536621;1e-06
1470316209,7760748863220215;0,010647
1470316209,7760760784149170;1e-06
1470316209,7973730564117432;0,021297
1470316209,8266589641571045;0,029286
1470316209,8306529521942139;0,00397
1470316209,8306560516357422;3e-06
1470316209,8319840431213379;0,003728
1470316209,8532819747924805;0,022602
1470316209,8905580043792725;0,037276
1470316209,8905599117279053;2e-06
1470316209,8998720645904541;0,241356
